f_gas_8_sigma,,f_gas_0_sigma,
X,Y,X,Y
0.11133753939706464,0.9974689028794995,0.03753911947643276,0.9998013887675714
0.1441577121629544,0.9963810670813613,0.05154809052701664,0.9997257381711826
0.17618281506122052,0.9952097879562086,0.07078512077741018,0.9996841101157365
0.20674733487236333,0.9935072996028824,0.09720028997443123,0.9994973974316723
0.2440899545583594,0.9921920512796222,0.13347288131282153,0.9993065785788736
0.28816508390626416,0.9901712885101657,0.18327435393158584,0.9984757839990301
0.34017328145019154,0.9869093429186973,0.2516494109791554,0.9970953494043006
0.4015523962638759,0.9830072082927173,0.3455165923746223,0.9949067979905775
0.4739532464443544,0.9772498319748879,0.47433913347123785,0.9907031546395235
0.5551748380284081,0.9707422045668601,0.6511394753047005,0.9851681364405787
0.650258361729628,0.9627843530194289,0.8937686017935225,0.9783389622422443
0.7673656191459234,0.9541003982581185,1.2266552942293256,0.9694686969801456
0.8824125746190505,0.9452742593593756,1.6833411615193734,0.9587775840320663
1.0059999877948824,0.9366271871753291,2.2748535593535224,0.9439106710218548
1.1430632700663512,0.9261310529332054,2.9477826739510626,0.924375513140451
1.2891839657872675,0.9176000272132496,3.7465563074419093,0.9027654619065875
1.4429302012422387,0.9077406205096847,5.013377338336812,0.8764790848386095
1.6272943501457493,0.8983024736801378,6.070994068526053,0.8606112901036
1.835095090401513,0.8877857731963352,8.034622759097358,0.8460157737492978
2.053979451809381,0.8781963470870621,10.117964747585749,0.8452238090432256
2.2987463745228482,0.8669870374120383,14.263589034944522,0.8689828820199661
2.5345411823588893,0.8585154449447134,12.587629680476487,0.8541970886941361
2.773166334742232,0.8480482190744272,17.336071590169905,0.8938856502503739
3.0805348923585685,0.8381538745386129,19.66263147340837,0.9150992953855117
3.421963723615072,0.8282236010263719,21.31695181466879,0.9423508324796045
3.858934032908149,0.8176877384218084,23.558928779745976,0.9662722185981961
4.418182184987393,0.8081307545853382,24.692515914321998,0.9858895994849293
5.097370082443526,0.8003620426307386,26.3235174231742,1.0058333417946683
6.016014808471078,0.793441873984919,27.320650539658597,1.0268527881546161
7.101665082393275,0.7898924965820373,28.968907415043894,1.054619415871583
8.384881848897317,0.7895963246810607,31.032288807952906,1.0772352024900975
9.902900781158612,0.7941995586564471,,
11.349323118513313,0.801057684251169,,
12.62183469866186,0.8102826878852574,,
13.827530643974942,0.8205813838473985,,
14.921264858196082,0.8307835140482669,,
15.899465611009354,0.8402767008445478,,
17.158678479507703,0.852012713188228,,
17.922424323318804,0.8645822384538888,,
18.76416039648585,0.8743489731768773,,
19.9467423384107,0.8860898193149778,,
20.723424762383427,0.8934383274360815,,
21.537448151828873,0.9062360636485627,,
22.806158638342968,0.916252814490272,,
23.613326829850553,0.9295061466429128,,
24.914971442235398,0.9427570009351103,,
26.167710852318073,0.9512883806351293,,
27.34957711992983,0.968265830839908,,
28.396465208095524,0.9829446761055322,,
29.507120617995145,0.9930716917369646,,
30.086362319858186,1.0023820045663123,,
30.6796039582702,1.0131089456090543,,
31.39970727504883,1.0221662334891433,,
32.63240558252695,1.034612823838681,,
0.08142736231978816,0.9982643617464774,,
0.06451157221058147,0.9988994191378784,,
0.05057351068156061,1.0001403518523666,,
0.0404907912328768,0.9995650482198939,,
0.03207802646357143,0.9995956199105084,,
